Cidade,Área,Impostos,Seguro,Total
Gotham,240,1000,121,9121
Metrópolis,64,122,11,1493
Gotham,73,150,16,2116
Gotham,19,41,16,1257
Gotham,13,42,28,2270
Gotham,55,375,64,7389
Gotham,55,67,17,1984
Gotham,82,109,26,2963
Gotham,32,0,37,3470
Metrópolis,60,20,10,1230
Metrópolis,64,0,7,1963
Gotham,20,130,23,2555
Gotham,92,0,51,4691
Metrópolis,56,11,13,1319
Metrópolis,188,584,46,3640
Gotham,100,260,53,3813
Gotham,192,634,99,10630
Gotham,93,227,45,5269
Gotham,155,233,40,2923
Gotham,80,46,33,3229
Gotham,65,0,45,4452
Gotham,320,1000,136,10140
Gotham,180,0,103,11100
Gotham,31,64,41,3577
Gotham,105,400,83,8642
Metrópolis,150,250,23,3443
Gotham,130,84,91,6175
Gotham,70,50,39,3610
Gotham,120,234,53,3787
Gotham,250,360,53,4193
Gotham,50,25,20,1920
Gotham,240,952,49,8933
Gotham,250,0,100,6700
Metrópolis,94,192,28,3170
Gotham,176,775,83,8958
Gotham,180,266,50,3616
Gotham,25,0,22,1977
Gotham,340,392,148,10340
Gotham,90,50,22,1522
Metrópolis,650,442,128,9070
Gotham,100,265,35,3000
Gotham,205,959,35,6164
Gotham,96,90,23,2769
Gotham,396,750,151,10900
Metrópolis,74,250,21,2521
Metrópolis,30,10,7,897
Gotham,64,65,18,2005
Gotham,105,488,99,9931
Gotham,50,259,75,7284
Gotham,60,0,17,1717
Gotham,50,49,26,2660
Gotham,90,38,26,1764
Gotham,130,417,96,9213
Gotham,20,0,25,1975
Gotham,400,338,85,6073
Gotham,220,0,113,7613
Gotham,750,559,88,6447
Gotham,20,130,23,2555
Metrópolis,140,283,27,3408
Gotham,22,14,14,1358
Metrópolis,46,53,5,1408
Gotham,35,30,42,3872
Metrópolis,72,97,16,1813
Gotham,60,288,25,5611
Gotham,83,80,42,4227
Gotham,50,28,20,2117
Gotham,38,279,39,4958
Gotham,140,292,36,4428
Metrópolis,62,48,13,1526
Gotham,70,284,51,5835
Metrópolis,55,60,14,1774
Metrópolis,60,20,6,1271
Gotham,85,261,23,3272
Gotham,134,380,102,10140
Gotham,170,267,59,4226
Gotham,46,255,79,8764
Gotham,20,130,23,2555
Gotham,58,144,58,5702
Gotham,96,313,30,3717
Gotham,87,67,26,2893
Gotham,42,94,31,2875
Gotham,90,50,39,4089
Gotham,250,26,38,2536
Gotham,500,1094,115,8829
Gotham,80,112,112,10610
Metrópolis,120,180,38,2718
Metrópolis,265,140,37,2577
Metrópolis,50,0,14,1424
Metrópolis,126,167,49,4796
Metrópolis,55,0,10,1120
Gotham,29,84,35,3519
Gotham,59,138,32,3134
Gotham,74,100,28,2901
Gotham,172,820,102,10520
Gotham,25,67,33,2970
Gotham,50,0,17,1117
Gotham,40,0,14,1414
Gotham,80,0,38,2503
Gotham,280,1118,76,6194
Gotham,60,0,18,5591
Gotham,76,217,54,5427
Metrópolis,150,360,38,4478
Gotham,130,209,70,8179
Metrópolis,64,18,10,1199
Gotham,55,50,17,1787
Gotham,50,0,17,1917
Gotham,120,180,89,9269
Metrópolis,30,10,7,903
Metrópolis,270,500,121,8621
Metrópolis,48,21,9,1050
Metrópolis,198,145,31,2176
Gotham,50,59,17,1156
Gotham,185,907,71,9248
Metrópolis,119,212,16,3078
Gotham,57,11,22,2233
Gotham,65,84,18,1602
Gotham,35,0,32,2257
Metrópolis,51,150,27,2980
Metrópolis,70,0,26,3226
Gotham,90,0,23,1523
Gotham,320,1,87,10290
Gotham,70,45,49,4554
Gotham,33,63,14,1515
Gotham,225,1267,64,9131
Gotham,42,0,42,3298
Gotham,120,4,61,4065
Gotham,70,148,20,2418
Gotham,90,137,49,3386
Gotham,260,1000,42,6356
Gotham,243,1950,70,10200
Gotham,100,0,12,1542
Gotham,240,1102,65,9478
Metrópolis,45,46,12,1628
Gotham,65,14,64,5758
Gotham,47,76,13,1189
Gotham,60,65,42,3996
Gotham,500,467,91,6558
Gotham,55,0,18,1837
Gotham,240,1000,63,9613
Gotham,65,0,7,2972
Gotham,68,0,6,1219
Gotham,198,320,70,7590
Gotham,62,59,28,2830
Gotham,60,25,36,3499
Gotham,187,584,127,10810
Gotham,25,45,28,2705
Gotham,230,409,55,4064
Gotham,17,50,31,2781
Gotham,67,170,28,3138
Gotham,20,0,27,2087
Gotham,118,434,108,10920
Gotham,43,172,31,3483
Gotham,195,334,77,7911
Gotham,141,735,96,9977
Gotham,45,0,30,2880
